Open,High,Low,Volume (BTC),Close
2666.33,2731.72,2660.83,764.37,2706.19
2712.84,2714.48,2680.61,395.22,2704.89
2704.89,2704.96,2674,142.06,2679.97
2676.26,2687.24,2662,224.68,2681.49
2682.46,2686.32,2655.82,416.89,2659.96
2659.96,2684.93,2659.95,158.89,2684.93
2684.94,2698.96,2676,332.17,2682
2683,2736,2673,475.23,2736
2736.01,2775.79,2720.14,1219.1,2759.13
2759.13,2767,2733,621.53,2764.45
2764.44,2768.9,2732.99,860.17,2750
2750,2825,2748.41,977.82,2815
2815.98,2821.08,2756,1073.87,2786.38
2786.38,2800,2744.44,825.31,2762.61
2763.61,2787.99,2758,624.08,2769.02
2767.33,2772.62,2712,805.55,2742.9
2742.89,2776.94,2724.5,597.97,2761.22
2759,2777.65,2739.99,523.51,2765.98
2765.96,2769.46,2751.05,301.63,2765
2765.03,2769.92,2725.38,688.3,2751.9
2751.73,2755.95,2727.5,715.51,2755.91
2754.94,2778.89,2743.24,410.61,2774.01
2778.74,2800,2768.92,753.44,2776.27
2784.89,2791.08,2767,161.59,2777.01
2777.01,2785.65,2754.62,155.75,2770.36
2773.46,2773.94,2745,300.18,2745.1
2744,2747,2722.62,422.56,2729.88
2729.99,2752.09,2696.01,525.74,2705
2701.8,2727.56,2667.72,795.33,2711.4
2711.4,2739.98,2708.78,331.88,2737.63
2734.69,2775,2723.55,467.66,2750.69
2750.83,2758.05,2725.96,270.87,2741.5
2741.51,2749.76,2730,270.31,2749.76
2749.94,2763.48,2734.44,172.58,2734.44
2734.44,2741,2680,533.47,2703.18
2703.22,2708.99,2659.95,656.75,2672.79
2672.54,2698.99,2668.19,401.4,2692.92
2692.92,2692.92,2657.39,392.65,2672.4
2671.99,2685.24,2669.51,271.33,2682.34
2682.3,2724.96,2682.3,688.54,2707.06
2707.02,2714.55,2687.41,238.26,2693.28
2690.04,2729.15,2683.96,336.65,2712.19
2705.76,2739.98,2705.76,267.59,2739.1
2739.1,2746.79,2715.26,241.71,2736.58
2736.58,2736.74,2700,229,2729.99
2720.74,2730.51,2695.45,267.42,2708.3
2700.4,2708.35,2631.78,1155.95,2678.82
2682.45,2717.12,2643,1388.63,2680.56
2681.6,2720,2632.32,2123.17,2657.92
2657.91,2680.77,2650,475.62,2676.64
2673.05,2679.73,2634.18,436.27,2666.11
2669.56,2679.72,2637.09,129.33,2679.72
2666.17,2679.83,2658,310.58,2662.18
2662.74,2679.99,2575,886.19,2622.53
2625,2636.99,2569.69,673.59,2611.98
2611.55,2624,2584.84,294.49,2620.67
2615.19,2623.5,2589.24,252.21,2622.09
2616.61,2655.96,2608.82,277.86,2628.44
2637.07,2647.1,2607.45,172.73,2617.35
2608.39,2649.68,2608.39,171.59,2648.38
2648.38,2672.98,2644.42,202.46,2666.45
2656,2666.31,2644.47,98.21,2659.97
2653.87,2703.07,2651,552.99,2700
2703.01,2727.95,2698.26,275.15,2720.25
2720.24,2728,2689.29,269.1,2701.11
2703.82,2711.3,2689.74,81.23,2710.96
2710.97,2774.45,2705.11,720.51,2758.86
2756.04,2758.49,2718.07,433,2718.07
2718.15,2720.4,2700,340.3,2713.79
2709.71,2740.97,2705.33,209.97,2739.56
2739.52,2740.93,2716.33,159.97,2732.03
2727.05,2748.84,2722.46,131.62,2742.37
2745.76,2747.79,2710,183.92,2710
2721.22,2725.04,2699.72,179.25,2704
2701.52,2717.39,2701.2,92.43,2706
2705,2724.13,2704.99,216.84,2710.11
2709,2712.99,2690.01,186.34,2701.01
2701.01,2717.41,2701.01,90.44,2717.08
2716.98,2728,2712.34,176.46,2725.9
2723.77,2744.89,2700,663.76,2719.97
2716,2731.11,2704.02,330.34,2721.77
2721.5,2722.3,2680.01,813.95,2712.5
2708.21,2738.1,2703.75,585.6,2730.08
2728.21,2770,2710,1153.03,2768.99
2768.99,2792.23,2747.09,324.71,2792.23
2791.06,2792.23,2750,453.5,2755.01
2755,2770,2725,519.08,2734.93
2734.93,2767.64,2733,587.94,2761.41
2763.23,2785,2759.51,369.03,2772.96
2768.07,2785.2,2768.07,300.96,2779.77
2779.77,2798.46,2772.39,371.21,2791.7
2790.55,2848.77,2790.02,1185.72,2837.44
2837.44,2885,2831.4,681.62,2885
2885.2,2889.99,2773,1197.42,2840.01
2842.7,2863,2825.26,281.17,2841
2843.38,2863.7,2827.94,169.6,2855.81
2855.81,2863.06,2823,184.02,2825.92
2823.01,2860.02,2821.01,77.3,2853.38
2846.27,2858.04,2837.31,135.83,2841.6
2841.84,2863.88,2837.73,143.2,2862.93
2862.92,2876,2848.11,222.53,2874.99
2872.03,2929.17,2865.01,415.97,2900
2895.02,2914.67,2851,289.04,2878.99
2876.88,2880,2754,693.76,2754
2753.1,2815.15,2615,1270.21,2684
2685,2731.03,2646.01,823.05,2713.04
2709.19,2763,2708.04,364.27,2758.36
2754.89,2785,2718,398.8,2754.9
2754.9,2776.86,2649.11,897.36,2747.68
2754,2758,2650,707.04,2676.02
2680.49,2732.01,2676.03,640.3,2713.95
2713.96,2725.04,2660.95,747.42,2676
2676,2740,2652.92,786.14,2734.86
2734.98,2739.98,2711.13,805.18,2716.87
2716.86,2764.84,2715.65,991.57,2732
2732,2779.53,2730.68,524.91,2775.38
2775.38,2779.07,2730.26,562.58,2731.01
2731.01,2747,2719,277.76,2720
2724.99,2732.55,2690,298.17,2699.98
2699.93,2733.05,2691.37,268.66,2731
2732,2732.49,2685,266.05,2698.43
2693,2725.42,2693,210.73,2720.72
2712.12,2755,2712.12,288.23,2741.18
2743.99,2744.99,2721.45,234.71,2734.76
2742.1,2752.46,2721.63,326.38,2739.96
2735.27,2759,2731.49,288.83,2740.8
2732.12,2750,2730,178.59,2731.98
2731.96,2734.04,2700.71,312.22,2710
2710.21,2724.98,2705.21,161.91,2720.97
2719.31,2736.2,2709,262.68,2732.98
2732.99,2733,2708.57,316.54,2718.42
2719.98,2759,2715.01,609.67,2752.01
2752.03,2760,2732.96,629.21,2739.08
2733.43,2737.99,2670,939.1,2678.93
2678.88,2709.89,2678.01,437.93,2695.01
2695.01,2719.01,2672,834.09,2698.05
2698.08,2714.99,2686.44,352.63,2714.99
2714.69,2719.88,2700,374.3,2705.97
2705.97,2715.98,2700.01,253.78,2710.09
2710.11,2719.95,2693.09,321.9,2707.87
2705.64,2705.64,2679.01,314.43,2689.41
2687.43,2697.3,2650,1018.28,2672.4
2665.21,2699,2657.56,244.22,2696.12
2687.1,2706,2676.7,310.24,2703.51
2703.51,2725,2701.37,265.37,2716.41
2711.32,2716.41,2698.83,107.55,2713.56
2713.55,2716.43,2702.8,153.72,2714.85
2707.67,2720.1,2707.67,104.41,2720.1
2718.05,2720.1,2706.21,144.81,2706.21
2706.88,2719.59,2706.26,99.99,2712.37
2712.59,2719.31,2706.7,93.29,2714.85
2712.84,2720.92,2712.84,218.85,2720
2719.98,2725.23,2712.44,456.72,2723.05
2723.07,2747.93,2723.03,791.07,2745.01
2745,2746,2735.35,354.61,2741.99
2738.34,2741.99,2735.03,122.39,2736.69
2735.21,2738.7,2724.01,291.77,2735.56
2735,2744,2734.27,256.59,2734.29
2736.21,2741.01,2730.38,201.83,2738.57
2734.75,2770,2734.75,510.16,2768
2768,2768,2756.77,408.17,2766
2765.98,2766,2737.87,464.11,2751.47
2751.47,2770.03,2749.52,182.63,2770.03
2769.9,2797.51,2769.9,876.27,2789.99
2789.99,2807.44,2771.02,1100.78,2783.99
2780.01,2795.37,2775,270.8,2787.84
2781.23,2803.5,2781.23,205.87,2803.49
2800,2805,2781,281.97,2793.37
2793.34,2801.19,2785.63,199.07,2795.53
2794.02,2794.56,2771,197.28,2785.44
2785,2798,2778.27,173.52,2780.4
2778.51,2791.23,2778.5,77.65,2786.43
2784.8,2788.21,2770,128.29,2776.72
2776.73,2800,2765.91,318.17,2793.6
2793.67,2793.67,2778.62,109.4,2780.19
2780.28,2815,2775.82,320.38,2814
2815,2855.5,2806,654.67,2840
2840,2852,2835.1,394.36,2849.99
2847.08,2870,2836.57,450.22,2864.98
2860.93,2875,2841.53,439.19,2841.98
2841.77,2853.49,2833.03,296.15,2833.03
2833,2862.68,2833,349.86,2850.99
2845.47,2865.99,2842.2,194.08,2860.11
2865.98,2875.8,2860,363.75,2868.15
2868.16,2877.52,2850,392.46,2850
2850,2859,2840,213.44,2850.28
2850.48,2860.49,2829.48,821.54,2831.24
2839.55,2843,2826.1,243.33,2826.57
2826.36,2839.95,2826.36,320.48,2839.76
2837.1,2850,2825,470.36,2843.96
2835,2853.02,2835,243.57,2853.02
2853.04,2867.9,2840.65,264.6,2855
2851.01,2867,2848.32,204.77,2866.14
2855.24,2880.45,2855.24,102.27,2874.98
2870,2955.04,2867.35,1177.14,2955
2955.04,3158.35,2950.27,1703.18,3109
3101,3215.66,3088.02,933.93,3130
3127.97,3154.9,3091,508.32,3097
3097,3176.79,3094.55,435.03,3162.04
3167.48,3174.99,3118,342.39,3120.12
3120.12,3201.57,3111.46,1043.89,3171.8
3165.92,3230,3165.9,1318.75,3188.98
3182,3205,3161.98,592.67,3193
3192,3198.2,3124.3,466.16,3145.93
3143.7,3175,3132.82,309.27,3150
3147,3182.83,3143.92,286.81,3180.95
3170.03,3221,3155.85,626.91,3220
3220,3222.5,3178,857.67,3192.37
3204.5,3300,3195.01,1197.7,3288.52
3283.49,3339.66,3265,1366.66,3305.98
3305.87,3315.6,3256.88,911.49,3291.95
3291.74,3294.99,3244,457.01,3256
3256,3291.99,3224,695.1,3249.75
3249.72,3249.72,3165,890.74,3233.09
3233.02,3253.25,3220.85,274.75,3235.99
3235.99,3267.44,3212,293.65,3263.62
3263.51,3290,3250.58,251.97,3275.41
3275.4,3296.51,3237.52,328.27,3256
3255,3274,3236.36,306.85,3236.36
3236.36,3239.14,3185.02,283.04,3222.2
3222.04,3245.93,3203.29,143.66,3205
3205.01,3223.31,3195,214.13,3218
3217.99,3233.84,3200.63,136.9,3216.78
3218.18,3233.21,3164,338.6,3177.88
3180,3197.96,3146.1,331.67,3182.54
3182.53,3227.99,3181.24,160.99,3208.51
3214.42,3219.78,3176.09,163.75,3197.84
3191.49,3217.3,3162.77,206.7,3182.79
3182,3233,3182,246.14,3210
3210,3225,3200.5,141.29,3216.64
3216.63,3262.46,3210.03,336.67,3251.86
3262.11,3262.11,3218,335.55,3241.5
3241.02,3290,3239.75,741.65,3271.01
3271.02,3294.35,3251.16,287.49,3275.89
3276.74,3279.99,3258.18,98.66,3265.18
3265.18,3275.55,3260,166.49,3261.49
3261.49,3291.88,3248.14,267.03,3253.6
3254,3264.89,3235.04,194.98,3264.89
3264.89,3272.92,3240.21,106.83,3256
3258.89,3258.89,3204.51,209.41,3222.75
3216.78,3241.13,3199.65,177.19,3199.65
3200,3221.57,3186,201.53,3197
3197,3236.14,3193,193.28,3227.02
3219,3248,3219,180.58,3247.41
3245.01,3247.99,3216.99,127.65,3216.99
3219.23,3256,3217.05,207.96,3243.39
3254.99,3255.95,3236,224.88,3253
3252.96,3258.98,3230.06,218.31,3242.25
3232.34,3270.02,3230,247.27,3260
3260,3279,3251.08,360.88,3275.89
3275.89,3285,3271.9,309.31,3280
3280,3384.09,3280,1340.19,3355.3
3354.27,3430,3354.27,1005.76,3410.09
3410.13,3415,3373.43,674.19,3400
3396.66,3399.96,3345.22,1052.77,3385.39
3385.38,3390,3367,932.48,3380
3387.32,3387.5,3348,955.4,3380
3372.85,3386.98,3335.27,1035.83,3342.02
3342.03,3359.92,3328,561.23,3328.99
3328.02,3357.94,3325,459.92,3356
